id,time_scrap,nombre,precio,url_articulo,municipio,search_term,filter_reason
1219194271,2026-01-15 13:41:44,iPhone 15 256GB Blanco,0 €,https://es.wallapop.com/item/iphone-15-256gb-blanco-1219194271,Madrid,iphone 15,Price too low: 0.0 < 300
1219220760,2026-01-15 13:41:44,Caja iPhone 15 negro,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-negro-1219220760,Madrid,iphone 15,Price too low: 6.99 < 300
1219227980,2026-01-15 13:41:45,Caja iPhone 15 Pro Max,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-pro-max-1219227980,Madrid,iphone 15,Price too low: 6.99 < 300
1219209465,2026-01-15 13:41:45,Cargadores Apple iphone .15-16-17. Adaptadores y,40 €,https://es.wallapop.com/item/cargadores-apple-iphone-15-16-17-adaptadores-y-1219209465,Madrid,iphone 15,Price too low: 40.0 < 300
1219013853,2026-01-15 13:41:45,Teléfono 15 (negro) 128 gb,380 €,https://es.wallapop.com/item/telefono-15-negro-128-gb-1219013853,Madrid,iphone 15,Missing required tokens: {'iphone'}
1219231298,2026-01-15 13:41:45,Caja iPhone 15 Plus negro,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-plus-negro-1219231298,Madrid,iphone 15,Price too low: 6.99 < 300
1219231829,2026-01-15 13:41:45,Caja iPhone 15 Plus rosa,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-plus-rosa-1219231829,Madrid,iphone 15,Price too low: 6.99 < 300
1219229599,2026-01-15 13:41:45,Caja iPhone 15 Plus amarillo,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-plus-amarillo-1219229599,Madrid,iphone 15,Price too low: 6.99 < 300
1219210513,2026-01-15 13:41:45,Caja iPhone 15 amarillo,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-amarillo-1219210513,Madrid,iphone 15,Price too low: 6.99 < 300
1219206109,2026-01-15 13:41:45,Caja iPhone 15 verde,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-verde-1219206109,Madrid,iphone 15,Price too low: 6.99 < 300
1219230580,2026-01-15 13:41:45,Caja iPhone 15 Plus verde,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-plus-verde-1219230580,Madrid,iphone 15,Price too low: 6.99 < 300
1219232418,2026-01-15 13:41:45,Caja iPhone 15 Plus azul,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-plus-azul-1219232418,Madrid,iphone 15,Price too low: 6.99 < 300
1219224810,2026-01-15 13:41:45,Cajas iPhone 15 Pro,"6,99 €",https://es.wallapop.com/item/cajas-iphone-15-pro-1219224810,Madrid,iphone 15,Price too low: 6.99 < 300
1219209096,2026-01-15 13:41:45,Caja iPhone 15 rosa,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-rosa-1219209096,Madrid,iphone 15,Price too low: 6.99 < 300
1219207137,2026-01-15 13:41:45,Caja iPhone 15 azul,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-azul-1219207137,Madrid,iphone 15,Price too low: 6.99 < 300
1219221989,2026-01-15 13:41:45,Caja iPhone 15 Pro azul,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-pro-azul-1219221989,Madrid,iphone 15,Price too low: 6.99 < 300
1219223232,2026-01-15 13:41:45,Caja iPhone 15 pro negro,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-pro-negro-1219223232,Madrid,iphone 15,Price too low: 6.99 < 300
1219226419,2026-01-15 13:41:45,Caja iPhone 15 Pro Max,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-pro-max-1219226419,Madrid,iphone 15,Price too low: 6.99 < 300
1219102972,2026-01-15 13:41:45,cambio iphone,200 €,https://es.wallapop.com/item/cambio-iphone-1219102972,Madrid,iphone 15,Excluded term found: {'cambio'}
1219225805,2026-01-15 13:41:45,iPhone 15 Pro titaneo Titanium natural,"6,99 €",https://es.wallapop.com/item/iphone-15-pro-titaneo-titanium-natural-1219225805,Madrid,iphone 15,Price too low: 6.99 < 300
1219227472,2026-01-15 13:41:45,Caja iPhone 15 Pro Max negro,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-pro-max-negro-1219227472,Madrid,iphone 15,Price too low: 6.99 < 300
1219228717,2026-01-15 13:41:45,Caja iPhone 15 Pro Max Titanium natural,"6,99 €",https://es.wallapop.com/item/caja-iphone-15-pro-max-titanium-natural-1219228717,Madrid,iphone 15,Price too low: 6.99 < 300
1219252375,2026-01-15 13:41:45,6 Fundas de iPhone 15 Rosa Antigolpes,15 €,https://es.wallapop.com/item/6-fundas-de-iphone-15-rosa-antigolpes-1219252375,Madrid,iphone 15,First char is digit: 6
1218945226,2026-01-15 13:41:45,iPhone 13,225 €,https://es.wallapop.com/item/iphone-13-1218945226,Madrid,iphone 15,Missing required tokens: {'15'}
1218936916,2026-01-15 13:41:45,Funda iPhone 15 Pro Max Diseño Vaca,10 €,https://es.wallapop.com/item/funda-iphone-15-pro-max-diseno-vaca-1218936916,Madrid,iphone 15,First word excluded: funda
1219039053,2026-01-15 13:41:45,Funda iPhone 15 Pro Negra Mate,5 €,https://es.wallapop.com/item/funda-iphone-15-pro-negra-mate-1219039053,Madrid,iphone 15,First word excluded: funda
1217598457,2026-01-15 13:41:45,Funda Apple Transparente para iPhone (varias),30 €,https://es.wallapop.com/item/funda-apple-transparente-magsafe-iphone-1217598457,Madrid,iphone 15,First word excluded: funda
1219026261,2026-01-15 13:41:45,Funda iPhone 15 Pro Max Verde,5 €,https://es.wallapop.com/item/funda-iphone-15-pro-max-verde-1219026261,Madrid,iphone 15,First word excluded: funda
