id,time_scrap,nombre,precio,url_articulo,municipio,search_term
1218557876,2026-01-15 13:41:44,iPhone 15 pro,589 €,https://es.wallapop.com/item/iphone-15-pro-1218557876,Madrid,iphone 15
1218817853,2026-01-15 13:41:44,iPhone 15 Rosa 128 GB,430 €,https://es.wallapop.com/item/iphone-15-rosa-128-gb-1218817853,Madrid,iphone 15
1218289127,2026-01-15 13:41:44,iPhone 15 128GB blanco.,520 €,https://es.wallapop.com/item/iphone-15-128gb-blanco-1218289127,Madrid,iphone 15
1218757588,2026-01-15 13:41:44,iPhone 15 Negro 91% Impecable,430 €,https://es.wallapop.com/item/iphone-15-negro-91-impecable-1218757588,Madrid,iphone 15
1218653921,2026-01-15 13:41:44,iPhone 15 128GB,460 €,https://es.wallapop.com/item/iphone-15-128gb-1218653921,Madrid,iphone 15
1218172958,2026-01-15 13:41:44,iPhone 15 128GB,400 €,https://es.wallapop.com/item/iphone-15-128gb-1218172958,Madrid,iphone 15
1218254941,2026-01-15 13:41:44,iPhone 15 Blanco 128GB,470 €,https://es.wallapop.com/item/iphone-15-blanco-128gb-1218254941,Madrid,iphone 15
1218777242,2026-01-15 13:41:44,iPhone 15 Rosa - Como Nuevo,420 €,https://es.wallapop.com/item/iphone-15-rosa-como-nuevo-1218777242,Madrid,iphone 15
1218563483,2026-01-15 13:41:44,iPhone 15,449 €,https://es.wallapop.com/item/iphone-15-1218563483,Madrid,iphone 15
1217995560,2026-01-15 13:41:44,iPhone 15,400 €,https://es.wallapop.com/item/iphone-15-1217995560,Madrid,iphone 15
1219130938,2026-01-15 13:41:44,iPhone 15 128GB Plata + Accesorios,425 €,https://es.wallapop.com/item/iphone-15-128gb-plata---accesorios-1219130938,Madrid,iphone 15
1219178744,2026-01-15 13:41:44,iPhone 15 Pro Max,530 €,https://es.wallapop.com/item/iphone-15-pro-max-1219178744,Madrid,iphone 15
1219178814,2026-01-15 13:41:44,iPhone 15 Pro Max,535 €,https://es.wallapop.com/item/iphone-15-pro-max-1219178814,Madrid,iphone 15
1218759194,2026-01-15 13:41:44,iPhone 15 Plus Rosa 88%,450 €,https://es.wallapop.com/item/iphone-15-plus-rosa-88-1218759194,Madrid,iphone 15
1218170651,2026-01-15 13:41:44,iPhone 15 Pro Gris,550 €,https://es.wallapop.com/item/iphone-15-pro-256gb-gris-1218170651,Madrid,iphone 15
1218897483,2026-01-15 13:41:44,iPhone 15 128GB,470 €,https://es.wallapop.com/item/iphone-15-128gb-1218897483,Madrid,iphone 15
1218617062,2026-01-15 13:41:44,iPhone 15 Plus Rosa,450 €,https://es.wallapop.com/item/iphone-15-plus-rosa-1218617062,Madrid,iphone 15
1219258029,2026-01-15 13:41:44,iPhone 15 128GB,450 €,https://es.wallapop.com/item/iphone-15-128gb-1219258029,Madrid,iphone 15
1219285347,2026-01-15 13:41:44,iPhone 15 Plus 256 GB Verde,470 €,https://es.wallapop.com/item/iphone-15-plus-256-gb-verde-1219285347,Madrid,iphone 15
1218855861,2026-01-15 13:41:44,iPhone 15 Pro Max Titanio,600 €,https://es.wallapop.com/item/iphone-15-pro-max-titanio-1218855861,Madrid,iphone 15
1218241786,2026-01-15 13:41:44,iPhone 15 Blanco 256GB - Impecable,500 €,https://es.wallapop.com/item/iphone-15-blanco-256gb-impecable-1218241786,Madrid,iphone 15
1218942093,2026-01-15 13:41:44,iPhone 15 Pro Space Gray Casi Nuevo,450 €,https://es.wallapop.com/item/iphone-15-pro-space-gray-casi-nuevo-1218942093,Madrid,iphone 15
1218566950,2026-01-15 13:41:44,iPhone 15 Pro Azul/Gris,480 €,https://es.wallapop.com/item/iphone-15-pro-azul-gris-1218566950,Madrid,iphone 15
1204499840,2026-01-15 13:41:44,iPhone 15 Blanco,400 €,https://es.wallapop.com/item/iphone-15-blanco-1204499840,Madrid,iphone 15
1219077546,2026-01-15 13:41:44,iPhone 15 128GB Negro,450 €,https://es.wallapop.com/item/iphone-15-128gb-negro-1219077546,Madrid,iphone 15
1219185565,2026-01-15 13:41:44,iPhone 15 Pro Max 256GB Space Gray,650 €,https://es.wallapop.com/item/iphone-15-pro-max-256gb-space-gray-1219185565,Madrid,iphone 15
1219286899,2026-01-15 13:41:44,iPhone 15 Plus Rosa,450 €,https://es.wallapop.com/item/iphone-15-plus-rosa-1219286899,Madrid,iphone 15
1218000582,2026-01-15 13:41:44,iPhone 15,480 €,https://es.wallapop.com/item/iphone-15-1218000582,Madrid,iphone 15
1219092668,2026-01-15 13:41:44,iPhone 15 Pro 256 GB Gris,575 €,https://es.wallapop.com/item/iphone-15-pro-256-gb-gris-1219092668,Madrid,iphone 15
1218889244,2026-01-15 13:41:44,iPhone 15 128GB Negro,400 €,https://es.wallapop.com/item/iphone-15-128gb-negro-1218889244,Madrid,iphone 15
1219091014,2026-01-15 13:41:44,iPhone 15 Pro Max 256 GB,620 €,https://es.wallapop.com/item/iphone-15-pro-max-256-gb-1219091014,Madrid,iphone 15
1217099769,2026-01-15 13:41:44,iPhone 15 Negro 128GB,500 €,https://es.wallapop.com/item/iphone-15-negro-128gb-1217099769,Madrid,iphone 15
1218922335,2026-01-15 13:41:44,iPhone 15 Pro Max Azul Oscuro Impoluto,620 €,https://es.wallapop.com/item/iphone-15-pro-max-azul-oscuro-impoluto-1218922335,Madrid,iphone 15
1218937154,2026-01-15 13:41:44,iPhone 15 pro max 256gb,"749,99 €",https://es.wallapop.com/item/iphone-15-pro-max-256gb-1218937154,Madrid,iphone 15
